occupation_code	occupation_text	display_level	selectable	sort_sequence
000000	All occupations	0	T	1
111011	Chief executives	4	T	5
11101X	Chief executives	3	T	4
111021	General and operations managers	4	T	7
11102X	General and operations managers	3	T	6
111031	Legislators	4	T	9
11103X	Legislators	3	T	8
111XXX	Top executives	2	T	3
112011	Advertising and promotions managers	4	T	12
11201X	Advertising and promotions managers	3	T	11
112021	Marketing managers	4	T	14
112022	Sales managers	4	T	15
11202X	Marketing and sales managers	3	T	13
112031	Public relations and fundraising managers	4	T	17
11203X	Public relations and fundraising managers	3	T	16
112XXX	Advertising, marketing, promotions, public relations, and sales managers	2	T	10
113011	Administrative services managers	4	T	22
11301X	Administrative services and facilities managers	3	T	21
113021	Computer and information systems managers	4	T	26
11302X	Computer and information systems managers	3	T	25
113031	Financial managers	4	T	28
11303X	Financial managers	3	T	27
113051	Industrial production managers	4	T	30
11305X	Industrial production managers	3	T	29
113061	Purchasing managers	4	T	32
11306X	Purchasing managers	3	T	31
113071	Transportation, storage, and distribution managers	4	T	34
11307X	Transportation, storage, and distribution managers	3	T	33
113121	Human resources managers	4	T	38
11312X	Human resources managers	3	T	37
113131	Training and development managers	4	T	40
11313X	Training and development managers	3	T	39
113XXX	Operations specialties managers	2	T	20
119013	Farmers, ranchers, and other agricultural managers	4	T	43
11901X	Farmers, ranchers, and other agricultural managers	3	T	42
119021	Construction managers	4	T	45
11902X	Construction managers	3	T	44
119032	Education administrators, kindergarten through secondary	4	T	48
119033	Education administrators, postsecondary	4	T	49
11903X	Education and childcare administrators	3	T	46
119041	Architectural and engineering managers	4	T	51
11904X	Architectural and engineering managers	3	T	50
119051	Food service managers	4	T	53
11905X	Food service managers	3	T	52
119061	Funeral service managers	4	T	55
11906X	Funeral service managers	3	T	54
119071	Gambling managers	4	T	57
119072	Entertainment and recreation managers, except gambling	4	T	58
11907X	Entertainment and recreation managers	3	T	56
119081	Lodging managers	4	T	60
11908X	Lodging managers	3	T	59
119111	Medical and health services managers	4	T	62
11911X	Medical and health services managers	3	T	61
119121	Natural sciences managers	4	T	64
11912X	Natural sciences managers	3	T	63
119131	Postmasters and mail superintendents	4	T	66
11913X	Postmasters and mail superintendents	3	T	65
119141	Property, real estate, and community association managers	4	T	68
11914X	Property, real estate, and community association managers	3	T	67
119151	Social and community service managers	4	T	70
11915X	Social and community service managers	3	T	69
119171	Funeral home managers	4	T	74
11917X	Personal service managers	3	T	73
11919X	Miscellaneous managers	3	T	75
119XXX	Other management occupations	2	T	41
11XXXX	Management occupations	1	T	2
131011	Agents and business managers of artists, performers, and athletes	4	T	79
13101X	Agents and business managers of artists, performers, and athletes	3	T	78
131021	Buyers and purchasing agents, farm products	4	T	81
131022	Wholesale and retail buyers, except farm products	4	T	82
131023	Purchasing agents, except wholesale, retail, and farm products	4	T	83
13102X	Buyers and purchasing agents	3	T	80
131031	Claims adjusters, examiners, and investigators	4	T	85
13103X	Claims adjusters, appraisers, examiners, and investigators	3	T	84
131041	Compliance officers	4	T	88
13104X	Compliance officers	3	T	87
131051	Cost estimators	4	T	90
13105X	Cost estimators	3	T	89
131071	Human resources specialists	4	T	92
131075	Labor relations specialists	4	T	94
13107X	Human resources workers	3	T	91
131081	Logisticians	4	T	96
131082	Project management specialists	4	T	97
13108X	Logisticians and project management specialists	3	T	95
131111	Management analysts	4	T	99
13111X	Management analysts	3	T	98
131121	Meeting, convention, and event planners	4	T	101
13112X	Meeting, convention, and event planners	3	T	100
131131	Fundraisers	4	T	103
13113X	Fundraisers	3	T	102
131151	Training and development specialists	4	T	107
13115X	Training and development specialists	3	T	106
131161	Market research analysts and marketing specialists	4	T	109
13116X	Market research analysts and marketing specialists	3	T	108
13119X	Miscellaneous business operations specialists	3	T	110
131XXX	Business operations specialists	2	T	77
132011	Accountants and auditors	4	T	113
13201X	Accountants and auditors	3	T	112
132021	Appraisers and assessors of real estate	4	T	115
13202X	Property appraisers and assessors	3	T	114
132051	Financial and investment analysts	4	T	123
132052	Personal financial advisors	4	T	124
132053	Insurance underwriters	4	T	125
13205X	Financial analysts and advisors	3	T	122
132072	Loan officers	4	T	131
13207X	Credit counselors and loan officers	3	T	129
132081	Tax examiners and collectors, and revenue agents	4	T	133
132082	Tax preparers	4	T	134
13208X	Tax examiners, collectors and preparers, and revenue agents	3	T	132
13209X	Miscellaneous financial specialists	3	T	135
132XXX	Financial specialists	2	T	111
13XXXX	Business and financial operations occupations	1	T	76
151111	Computer and information research scientists	4	T	140
15111X	Computer and information research scientists	3	T	139
151121	Computer systems analysts	4	T	142
151122	Information security analysts	4	T	143
15112X	Computer and information analysts	3	T	141
151131	Computer programmers	4	T	145
151132	Software developers, applications	4	T	146
151133	Software developers, systems software	4	T	147
15113X	Software developers and programmers	3	T	144
151141	Database administrators	4	T	150
151143	Computer network architects	4	T	152
15114X	Database and systems administrators and network architects	3	T	149
151151	Computer user support specialists	4	T	154
151152	Computer network support specialists	4	T	155
15115X	Computer support specialists	3	T	153
15119X	Miscellaneous computer occupations	3	T	156
1511XX	Computer occupations	3	T	138
151212	Information security analysts	4	T	160
15121X	Computer and information analysts	3	T	158
151231	Computer network support specialists	4	T	164
151232	Computer user support specialists	4	T	165
15123X	Computer support specialists	3	T	163
151252	Software developers	4	T	173
15125X	Software and web developers, programmers, and testers	3	T	171
1512XX	Computer occupations	2	T	157
151XXX	Computer specialists	2	T	137
152031	Operations research analysts	4	T	183
15203X	Operations research analysts	3	T	182
152041	Statisticians	4	T	185
15204X	Statisticians	3	T	184
152XXX	Mathematical science occupations	2	T	177
15XXXX	Computer and mathematical occupations	1	T	136
171011	Architects, except landscape and naval	4	T	193
17101X	Architects, except naval	3	T	192
171022	Surveyors	4	T	197
17102X	Surveyors, cartographers, and photogrammetrists	3	T	195
171XXX	Architects, surveyors, and cartographers	2	T	191
